id,uo_codigo,Nome_orgao,programa_codigo,acao_detalhe_id,acao_codigo,tipo_acao,finalidade,descricao,funcao_codigo,funcao_descricao,subfuncao_codigo,subfuncao_descricao,forma_implementacao,descricao_produto,acumulativo,acao_prioritaria,unidade_medida,representacao,situacao_acao,resultados_obtidos,ano_monitoramento,quadrimestre_monitoramento,tipo_dado,ano,quadrimestre
0,1001,Assembleia Legislativa do Estado de Rondônia,0,4662,95,Operação Especial,"Realizar o pagamento de créditos decorrentes de processos administrativos, cumprimento de sentenças e/ou acordos judiciais, bem como de juros e amortização de dívidas de natureza previdenciária ou diversa.","Autuação de processos administrativos, operacionalização e execução das atividades necessárias ao cumprimento da finalidade da ação.",1,Legislativa,846,Outros Encargos Especiais,Direta,,False,False,,,"Não ocorreram pagamentos de dívidas, indenizações nem sentenças judiciais até o fim do 1º quadrimestre/2024.",Sem resultados.,2024,1,Ação,2024,1
1,1001,Assembleia Legislativa do Estado de Rondônia,0,4663,140,Operação Especial,"Efetuar pagamento de pensionistas da Assembleia Legislativa, nos termos da legislação vigente.","Processamento mensal das folhas de pagamento de pensionistas; classificação contábil dos proventos e dos descontos; emissão de reserva orçamentária, empenho, documentos de liquidação e pagamento; transferência de arquivo eletrônico à instituição bancária para crédito das remunerações dos pensionistas, impostos e consignações.",1,Legislativa,274,Previdência Especial,Direta,,False,False,,,"Até o final do 1º quadrimestre de 2024, os recursos utilizados atingiram um percentual de execução de 24,29% da dotação orçamentária atualizada destinada ao pagamento da folha de pensionistas especiais da ALERO, estando um pouco abaixo do previsto pelo fato da folha de pagamento de pensionistas ter reduzido o contingente de 5 para 4 pensionistas.","Com a execução da ação foi possível realizar o pagamento mensal de 04 (cinco) pensionistas de ex-deputados estaduais, mantidos em folha de pagamento específica da ALERO, nos termos da legislação vigente.",2024,1,Ação,2024,1
2,1001,Assembleia Legislativa do Estado de Rondônia,1006,4664,1379,Projeto,"Preencher o quadro de pessoal permanente da Assembleia Legislativa por meio da realização de concurso público, nos termos da legislação vigente.
",Contratação de banca examinadora para seleção de candidatos por meio de aplicação de provas ou de provas e títulos. ,1,Legislativa,122,Administração Geral,Direta,Concurso público realizado,True,False,Unidade,Un,"A mobilização para realização do II Concurso Público da Assembleia Legislativa iniciou-se no final deste 1º quadrimestre. Em 24/04/2024, foi constituída a Comissão Preparatória do II Concurso Público da Assembleia Legislativa do Estado de Rondônia, com prazo de vigência de 60 (sessenta) dias. No momento, já existe projeto de lei que aumenta o número de cargos efetivos existentes na ALERO, encaminhado à Secretaria de Planejamento e Orçamento para devido estudo e analise de impacto financeiro-orçamentário.","Sem resultados físicos e/ou financeiros, pois a ação ainda está em fase de planejamento, estudos e elaboração.",2024,1,Ação,2024,1
3,1001,Assembleia Legislativa do Estado de Rondônia,1006,4665,2253,Atividade,Capacitar o Capital Humano oportunizando qualidade técnica de pessoal e estabelecendo condições para melhor servir à sociedade.,"Autuação de processos administrativos para Contratação serviços de terceiros,  concessão de diárias, passagens, consultoria para o desenvolvimento institucional, celebração de parcerias com outros órgãos, de modo a proporcionar a participação de membros e servidores em cursos de aperfeiçoamento profissional, treinamentos e eventos congêneres.
",1,Legislativa,128,Formação de Recursos Humanos,Direta,Capacitações realizadas,False,False,Unidade,Un,"Até o final do 1º quadrimestre de 2024, os recursos utilizados contribuíram para atingir um percentual de execução 12,39% da dotação orçamentária atualizada, destinado ao desenvolvimento de competências e habilidades profissionais de deputados e servidores da ALERO.","No primeiro quadrimestre, foi possível a realização de 20 inscrições (com mais 5 cortesias) no 2º CONGRESSO AMAZÔNICO DE LICITAÇÕES E CONTRATAÇÕES PÚBLICAS, realizado na Faculdade Católica de Rondônia, nos períodos de 27/02/2024 a 01/03/2024; uma inscrição para o Curso Presencial de rotinas de Folha de Pagamento, Social e FGTS digital e duas inscrições no Curso de Auditoria Governamental, Controles Internos e Externos, Compliance, Governança e Gestão de Riscos. Por fim, foi efetuada a manutenção do Termo de Cooperação entre a Assembleia Legislativa e a UNALE – União Nacional dos Legisladores e Legislativos Estaduais, assim como do Termo de Cooperação Técnico, Científico, Cultural entre a Associação Brasileira das Escolas do Legislativo e de Contas (ABEL).",2024,1,Ação,2024,1
4,1001,Assembleia Legislativa do Estado de Rondônia,1006,4666,2405,Atividade,"Tornar mais eficaz a gestão dos recursos de tecnologia da informação e comunicação, por meio do desenvolvimento, aquisição e implantação de novos equipamentos e sistemas, contratação de serviços e manutenção de contratos.","Desenvolver o Plano Diretor de Informática e realizar despesas referentes à manutenção da rede lógica e de contratos de serviços de tecnologia da informação e comunicação, aquisição de novos equipamentos e softwares, capacitação de servidores na área de TIC, e demais despesas relacionadas.",1,Legislativa,126,Tecnologia da Informação,Direta,Serviços Implementados,False,False,Porcentagem,%,"Até o final do 1º quadrimestre de 2024, os recursos utilizados contribuíram para atingir um percentual de execução 9,66% .","Com a execução da ação foi possível realizar a manutenção de serviços de locação de software para o controle de almoxarifado, patrimônio e recursos humanos, serviços de comunicação dedicada para acesso à rede mundial de computadores - INTERNET - na modalidade terrestre suportando aplicações TCP/IP; telefonia fixa e móvel; e locação de computadores, notebooks e impressoras. Ainda, foi possível a contratação de manutenção corretiva, preventiva e substituição de Nobreaks utilizados pelos servidores da casa, e de equipamentos fiscais de relógio de ponto eletrônico. Também foi possível a contratação de fornecimento de solução integrada de colaboração e comunicação baseada em nuvem.",2024,1,Ação,2024,1
5,1001,Assembleia Legislativa do Estado de Rondônia,1006,4667,2406,Atividade,"Realizar despesas voltadas ao fortalecimento da estrutura da Assembleia Legislativa, exceto em tecnologia da informação e comunicação, envolvendo a contratação de serviços, consultoria, planejamento e execução de obras e instalações, aquisição de imóveis, equipamentos e materiais permanentes, e demais despesas relacionadas.
","Autuação de processos administrativos para aquisições de bens e serviços por meio de procedimentos licitatórios, contratação direta e/ou adesão à atas de registro de preços; celebração de instrumentos contratuais, designação de gestores e fiscais de contratos; emissão de reservas orçamentárias, notas de empenho, documentos de liquidação e pagamento; e demais atividades operacionais necessárias à estruturação da unidade.",1,Legislativa,122,Administração Geral,Direta,Investimentos Realizados,False,False,Porcentagem,%,"Até o final do 1º quadrimestre de 2024, os recursos utilizados contribuíram para atingir um percentual de execução de 0,46%.","Até o momento, foi possível iniciar as instalações de persianas para a estrutura do prédio da ALERO, além de serviços de atualização tecnológica nos elevadores.",2024,1,Ação,2024,1
6,1001,Assembleia Legislativa do Estado de Rondônia,1006,4668,2408,Atividade,"Oferecer Bolsa de estágio supervisionado para educandos que estejam frequentando o ensino regular em instituições de educação de ensino médio e superior, visando à preparação para o trabalho produtivo, por meio da prática em atividades específicas compatíveis com a sua formação e experiência.","Contratação de agente de integração mediante a realização de procedimento licitatório; designação de gestor e formação de comissão específica para o acompanhamento e fiscalização do contrato; emissão de reservas orçamentárias, notas de empenho, documentos de liquidação e pagamento; e demais atividades operacionais necessárias ao desenvolvimento do programa.
",1,Legislativa,128,Formação de Recursos Humanos,Direta,Bolsas Ofertadas,True,False,Unidade,Un,"A ação registrou ao final do 1º quadrimestre de 2024 um índice de execução de 24,14% da despesa liquidada em relação à dotação orçamentária atualizada destinada ao desenvolvimento de estágio supervisionado na ALERO. O % de execução (liquidado) encontra-se ligeiramente abaixo do esperado, dado que o quadro de estagiários não foi completamente preenchido neste quadrimestre - conforme a meta e os resultados físicos refletem.","Com a execução da ação foi possível realizar a manutenção do termo de colaboração com o Centro de Integração Empresa Escola – CIIE, possibilitando oportunidades de aperfeiçoamento da formação profissional de 169 estudantes que estejam frequentando o ensino regular em instituições de educação superior, e também de ensino médio, para atender as necessidades da ALERO.",2024,1,Ação,2024,1
7,1001,Assembleia Legislativa do Estado de Rondônia,1020,4669,2062,Atividade,Realizar despesas necessárias à manutenção e ao desenvolvimento das atividades da Assembleia Legislativa do Estado de Rondônia.,"A ação será executada em observância aos princípios da administração pública, mediante a formalização e autuação de processos administrativos, envolvendo a concessão de diárias a servidores da área administrativa; a manutenção de contratos continuados; a aquisições de bens e serviços por meio de procedimentos licitatórios, contratação direta e/ou adesão à atas de registro de preços; celebração de instrumentos contratuais, designação de gestores e fiscais de contratos; emissão de reservas orçamentárias, notas de empenho, documentos de liquidação e ordens de pagamento; e demais atividades operacionais necessárias ao funcionamento da unidade.",1,Legislativa,122,Administração Geral,Direta,Unidade Mantida,True,False,Unidade,Un,"A ação registrou ao final do 1º quadrimestre de 2024 um índice de execução de 14,01% da despesa empenhada em relação à dotação orçamentária atualizada destinada à manutenção das atividades da ALERO.","Com a execução da ação foi possível realizar de forma satisfatória a manutenção das atividades necessárias ao funcionamento da Assembleia Legislativa, tais como: pagamento de diárias; aquisição de materiais de consumo; aquisição de passagens e despesas com locomoção; manutenção e obtenção de contratos e serviços de terceiros (locação de imóveis; manutenção e conservação de bens imóveis; máquinas e equipamentos; festividades e homenagens; taxas; energia elétrica; água e esgoto; comunicação em geral; seguros em geral; consultoria e auditoria tributária para recuperação de créditos; hospedagem; serviços bancários e outras despesas). Dentre os serviços de manutenção e conservação, destacam-se os de saneamento e controle de pragas, serviços de apoio administrativo operacional e copa/cozinha, buffet, manutenção preventiva e corretiva do sistema de ar condicionado e elevadores, serviço de gerenciamento de combustível e prestação de serviços de limpeza e conservação predial.",2024,1,Ação,2024,1
8,1001,Assembleia Legislativa do Estado de Rondônia,1020,4670,2418,Atividade,"Realizar o pagamento da remuneração mensal e 13º salário dos servidores da área administrativa da ALE-RO e outras eventuais despesas relacionadas, inclusive auxílios, indenizações por desligamentos e encargos sociais.","Processamento mensal das folhas de pagamento de acordo com o vínculo (celetista, estatutário, à disposição, comissionados da área administrativa e outras); classificação contábil dos proventos, dos descontos e dos encargos sociais; emissão de reserva orçamentária, empenho, liquidação e pagamento; transferência de arquivo eletrônico à instituição bancária para crédito das remunerações dos servidores e das consignações junto aos credores.",1,Legislativa,122,Administração Geral,Direta,Servidores Remunerado,True,False,Unidade,Un,"Até o final do 1º quadrimestre de 2024, os recursos utilizados atingiram um percentual de execução de 29,57%. Dentro, portanto, da programação orçamentária inicialmente prevista para o período.","Com a execução da ação foi possível realizar o processamento das folhas mensais de pagamento e a remuneração, dentro do mês trabalhado, do pessoal da área predominantemente administrativa da ALERO, bem como indenizações por desligamentos, consignações e recolhimento dos encargos sociais.",2024,1,Ação,2024,1
9,1001,Assembleia Legislativa do Estado de Rondônia,2126,4671,2409,Atividade,"Fornecer suporte para realização das atividades legislativas e promover a participação da sociedade e a ampliação do exercício da cidadania, por meio da realização de audiências públicas, instalação física de unidades de apoio, realização de ações itinerantes nos municípios e distritos do interior do Estado de Rondônia.","Autuação de processos administrativos de execução de despesas com diárias dentro e fora do Estado; contratação de serviços de locação de estruturas para realização de eventos; indenizações e restituições relacionadas ao Exercício da Atividade Parlamentar (CEAP), tratamento de saúde e odontológico e outras despesas correlatas realizadas pelos parlamentares nos temos da legislação vigente.",1,Legislativa,31,Ação Legislativa,Direta,Audiências públicas realizadas,False,False,Unidade,Un,"Até o final do 1º quadrimestre de 2024, o percentual de execução foi de 22,53% comparando o valor de dotação atualizada com o valor liquidado, estando um pouco abaixo do esperado – devido as atividades finalísticas da casa terem iniciado efetivamente em 27/02/2024 (primeira sessão legislativa ordinária).","Com a execução da ação foi possível realizar o suporte à atividade parlamentar dos 24 deputados, por meio do ressarcimento de despesas decorrentes do exercício da função, tratamento de saúde e odontológico, despesas com transportes, diárias e outras correlatas.",2024,1,Ação,2024,1
